category,category_theme_27
"Equity fund for start-ups,Grants for demonstration projects,Grants for R&D projects,Grants for R&D projects (co-funded by more than one government)",Innovation & R&D
"Grants for R&D projects,Grants for R&D projects (co-funded by more than one government)",Innovation & R&D
"Awards to recognise innovation,Connecting innovators and potential customers",Innovation & R&D
"Grants for demonstration projects,Grants for R&D projects",Innovation & R&D
"Other,Grants for R&D projects",Innovation & R&D
Grants for R&D projects,Innovation & R&D
Framework innovation strategy,Innovation & R&D
Funding for public research institutions,Innovation & R&D
Technology R&D roadmaps,Innovation & R&D
IP enforcement rules,Innovation Support & Infrastructure
Entry & ownership rules/licensing,Innovation Support & Infrastructure
Lab vouchers,Innovation Support & Infrastructure
Funding to make testing facilities and technical expertise available to innovators,Innovation Support & Infrastructure
"Inducement prizes,Lab vouchers,Vouchers and debitable bank accounts",Innovation Support & Infrastructure
Faster IP processing,Innovation Support & Infrastructure
"Open up access to public laboratories, facilities and technical expertise",Innovation Support & Infrastructure
Open access to information for technology or project developers,Knowledge Platforms & Access
"Connecting innovators and testers,Expert platforms to inform government",Knowledge Platforms & Access
Expert platforms to inform government,Knowledge Platforms & Access
"Light-duty vehicles,Medium/Heavy-duty vehicles,Other",Light-duty Vehicles
"Light-duty vehicles,Medium/Heavy-duty vehicles,Buses,Ships",Light-duty Vehicles
"Light-duty vehicles,Aircrafts",Light-duty Vehicles
"Light-duty vehicles,Medium/Heavy-duty vehicles,Aircrafts,Buses,Ships,Urban transit,Other",Light-duty Vehicles
"Light-duty vehicles,Medium/Heavy-duty vehicles",Light-duty Vehicles
"Light-duty vehicles,Buses",Light-duty Vehicles
"Light-duty vehicles,Ships",Light-duty Vehicles
"2-/3-wheelers,Medium/Heavy-duty vehicles,Buses",Light-duty Vehicles
"Light-duty vehicles,Medium/Heavy-duty vehicles,Aircrafts,Buses,Ships,Urban transit",Light-duty Vehicles
Electric light-duty vehicles,Light-duty Vehicles
"2-/3-wheelers,Light-duty vehicles,Medium/Heavy-duty vehicles,Buses",Light-duty Vehicles
"2-/3-wheelers,Light-duty vehicles",Light-duty Vehicles
Light-duty vehicles,Light-duty Vehicles
"Existing buildings,Light-duty vehicles",Light-duty Vehicles
"Light-duty vehicles,Not applicable",Light-duty Vehicles
"Light-duty vehicles,Medium/Heavy-duty vehicles,Buses,Urban transit",Light-duty Vehicles
"Light-duty vehicles,Medium/Heavy-duty vehicles,Buses",Light-duty Vehicles
"2-/3-wheelers,Light-duty vehicles,Other",Light-duty Vehicles
2-/3-wheelers,Light-duty Vehicles
"Nuclear,Grants for R&D projects",Nuclear
Nuclear,Nuclear
Inducement prizes,Other
Advice on access to resources,Other
"Other,Not applicable",Other
Other,Other
Not applicable,Other
Advance market commitments for products carrying technology risk,Other
Technology showcases and events,Other
Capital control/commercial operation/investment rules,Other
Disclosure rules in funding agreements,Other
,Other
Connecting innovators and potential customers,Other
Connecting innovators and testers,Other
Semiconductors,Other
"Batteries,Solar PVs",Solar Power
"Existing buildings,Solar PVs,Wind turbines",Solar Power
"Heat pumps,Electric light-duty vehicles,Batteries,Solar PVs",Solar Power
"2-/3-wheelers,Light-duty vehicles,Solar PVs",Solar Power
"Hydro,Solar PVs",Solar Power
"Batteries,Critical minerals,Solar PVs",Solar Power
"Light-duty vehicles,Medium/Heavy-duty vehicles,Aircrafts,Buses,Ships,Urban transit,Hydro,Nuclear,Lab vouchers,Awards to recognise innovation,Professional / Vocational training and certification,Grants for R&D projects,Solar PVs,Wind turbines",Solar Power
"Heat pumps,Solar PVs,Wind turbines",Solar Power
"Electric light-duty vehicles,Solar PVs",Solar Power
"Electric light-duty vehicles,Batteries,Critical minerals,Solar PVs",Solar Power
"Critical minerals,Solar PVs",Solar Power
"Existing buildings,New buildings,Hydro,Other,Solar PVs,Wind turbines",Solar Power
"Existing buildings,Solar PVs",Solar Power
"Solar PVs,Wind turbines",Solar Power
"Electric light-duty vehicles,Batteries,Solar PVs",Solar Power
"Light-duty vehicles,Medium/Heavy-duty vehicles,Aircrafts,Buses,Ships,Urban transit,Hydro,Nuclear,Advanced biofuels,Biogas,Other,Solar PVs,Wind turbines",Solar Power
"Hydro,Nuclear,Advanced biofuels,Biogas,Solar PVs,Wind turbines",Solar Power
"Heat pumps,Electric light-duty vehicles,Batteries,Solar PVs,Wind turbines",Solar Power
"Other,Solar PVs",Solar Power
"Hydro,Solar PVs,Wind turbines",Solar Power
"Batteries,Critical minerals,Solar PVs,Wind turbines",Solar Power
"Hydro,Nuclear,Solar PVs,Wind turbines",Solar Power
"Electric light-duty vehicles,Batteries,Critical minerals,Solar PVs,Wind turbines",Solar Power
"Hydro,Nuclear,Other,Solar PVs,Wind turbines",Solar Power
"Heat pumps,Solar PVs",Solar Power
"Batteries,Solar PVs,Wind turbines",Solar Power
"Electric light-duty vehicles,Batteries,Solar PVs,Wind turbines",Solar Power
"Hydro,Nuclear,Technology R&D roadmaps,Solar PVs,Wind turbines",Solar Power
"Critical minerals,Solar PVs,Wind turbines",Solar Power
"Nuclear,Batteries,Solar PVs",Solar Power
"2-/3-wheelers,Light-duty vehicles,Hydro,Batteries,Thermal storage,Solar PVs,Wind turbines",Solar Power
"Heat pumps,Batteries,Solar PVs,Wind turbines",Solar Power
Solar PVs,Solar Power
"Existing buildings,Medium/Heavy-duty vehicles,Nuclear,Solar PVs,Wind turbines",Solar Power
Equity fund for start-ups,Startup & Equity Financing
Investment in third party equity fund for start-ups,Startup & Equity Financing
"Electric light-duty vehicles,Critical minerals",Strategic Materials
"Critical minerals,Not applicable",Strategic Materials
Strategic materials,Strategic Materials
Critical minerals,Strategic Materials
"Critical minerals,Minerals traceability",Strategic Materials
"Entry & ownership rules/licensing,Critical minerals",Strategic Materials
"Minerals recycling,Minerals traceability",Strategic Materials
Minerals traceability,Strategic Materials
Urban transit,Urban Transit
"Existing buildings,Hydro,Wind turbines",Wind Power
Wind turbines,Wind Power
"Electric light-duty vehicles,Wind turbines",Wind Power
"Heat pumps,Electric light-duty vehicles,Batteries,Wind turbines",Wind Power
"Heat pumps,Batteries,Wind turbines",Wind Power
"Nuclear,Wind turbines",Wind Power
"Hydro,Wind turbines",Wind Power
"Batteries,Wind turbines",Wind Power
"Heat pumps,Wind turbines",Wind Power
